Name,Allegiances,DeathYear,BookofDeath,DeathChapter,BookIntroChapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Addam Marbrand,Lannister,none,none,none,56,1,1,1,1,1,1,0
Aegon Frey (Jinglebell),none,299,3,51,49,1,1,0,0,1,0,0
Aegon Targaryen,House Targaryen,none,none,none,5,1,1,0,0,0,0,1
Adrack Humble,House Greyjoy,300,5,20,20,1,1,0,0,0,0,1
Aemon Costayne,Lannister,none,none,none,none,1,1,0,0,1,0,0
Aemon Estermont,Baratheon,none,none,none,none,1,1,0,1,1,0,0
Aemon Targaryen (son of Maekar I),Night's Watch,300,4,35,21,1,1,1,0,1,1,0
Aenys Frey,none,300,5,none,59,0,1,1,1,1,0,1
Aeron Greyjoy,House Greyjoy,none,none,none,11,1,1,0,1,0,1,0
Aethan,Night's Watch,none,none,none,0,1,0,0,0,1,0,0
Aggar,House Greyjoy,299,2,56,50,1,0,0,1,0,0,0
Aggo,House Targaryen,none,none,none,54,1,0,1,1,1,0,1
Alan of Rosby,Night's Watch,300,5,4,18,1,1,0,1,1,0,1
Alayaya,none,none,none,none,15,0,0,0,1,0,0,0
Albar Royce,Arryn,none,none,none,38,1,1,1,0,0,1,0
Albett,Night's Watch,none,none,none,26,1,0,1,0,0,0,0
Alebelly,House Stark,299,2,46,4,1,0,0,1,0,0,0
Alerie Hightower,House Tyrell,none,none,none,6,0,1,0,0,1,1,0
Alesander Staedmon,Baratheon,none,none,none,65,1,1,0,1,0,0,0
Alester Florent,Baratheon,300,4,none,36,1,1,0,1,1,0,0
Alia of Braavos,none,none,none,none,28,0,0,1,0,0,0,0
Alla Tyrell,House Tyrell,none,none,none,6,0,1,0,0,1,1,0
Allard Seaworth,Baratheon,299,2,10,10,1,1,0,1,0,0,0
Alliser Thorne,Night's Watch,none,none,none,19,1,0,1,1,1,0,1
Alyn,House Stark,298,3,34,12,1,0,1,0,0,0,0
Alyn Ambrose,Tyrell,none,none,none,59,1,1,0,1,0,1,0
Alyn Estermont,Baratheon,none,none,none,none,1,1,0,1,1,0,0
Alyn Stackspear,Lannister,none,none,none,16,1,1,0,0,0,1,0
Alys Karstark,Stark,none,none,none,44,0,1,0,0,0,0,1
Alysane Mormont,Stark,none,none,none,35,0,1,0,0,0,0,1
Alyx Frey,none,none,none,none,49,1,1,0,0,1,0,0
Ambrode,Greyjoy,none,none,none,24,1,0,0,1,0,0,0
Amory Lorch,House Lannister,299,2,47,14,1,1,0,1,0,0,0
Andar Royce,Arryn,none,none,none,29,1,1,1,0,0,0,0
Andrew Estermont,Baratheon,none,none,none,36,1,1,0,0,1,0,0
Andrey Dalt,Martell,none,none,none,21,1,1,0,0,0,1,0
Andrik,Greyjoy,none,none,none,19,1,1,0,0,0,1,0
Anguy,none,none,none,none,30,1,0,1,0,1,0,0
Antario Jast,Lannister,none,none,none,32,1,1,0,1,0,0,0
Anvil Ryn,none,299,3,34,34,1,0,0,0,1,0,0
Anya Waynwood,Arryn,none,none,none,38,0,1,1,0,0,1,0
Archibald Yronwood,Martell,none,none,none,6,1,1,0,0,0,0,1
Ardrian Celtigar,Baratheon,none,none,none,10,1,1,0,1,1,0,0
Areo Hotah,House Martell,none,none,none,2,1,0,0,0,0,1,1
Arianne Martell,House Martell,none,none,none,2,0,1,0,0,0,1,1
Arneld,Lannister,none,none,none,59,1,0,0,1,0,0,0
Arnolf Karstark,Stark,none,none,none,3,1,1,0,0,0,0,1
Aron Santagar,Lannister,299,2,41,18,1,1,1,1,0,0,0
Arron,Night's Watch,none,none,none,75,1,0,0,0,1,0,1
Arron Qorgyle,Martell,none,none,none,38,1,1,0,0,1,0,0
Arryk (Guard),House Tyrell,none,none,none,6,1,0,0,0,1,1,0
